helics_simulation_time,powerRequired
1807.0,-510.77808417399655
1808.0,-510.704171351278
1809.0,-510.6302716824463
1810.0,-510.55638563666565
1811.0,-510.4825118276486
1812.0,-510.4086507704065
1813.0,-510.3348014543265
1814.0,-510.26096382019506
1815.0,-510.187137599274
1816.0,-510.1133222398652
1817.0,-510.03951750578887
1818.0,-509.96572311065546
1819.0,-509.8919388015128
1820.0,-509.8181642435424
1821.0,-509.74439947801545
1822.0,-509.6706442600423
1823.0,-509.5968982642413
1824.0,-509.5231612374864
1825.0,-509.4494333135331
1826.0,-509.3757145541059
1827.0,-509.30200457874287
1828.0,-509.22830323401746
1829.0,-509.1546105835791
1830.0,-509.080927017363
1831.0,-509.00725217441425
1832.0,-508.93358600102493
1833.0,-508.85992850230747
1834.0,-508.78628025513035
1835.0,-508.7126409728648
1836.0,-508.63901068747754
1837.0,-508.5653894309358
1838.0,-508.49177772269263
1839.0,-508.4181754988569
1840.0,-508.34458281877625
1841.0,-508.27099978297986
1842.0,-508.1974267545792
1843.0,-508.1238639148134
1844.0,-508.0503113280119
1845.0,-507.9767691467991
1846.0,-507.9032376403081
1847.0,-507.8297171098477
1848.0,-507.7562076495646
1849.0,-507.6827094484893
1850.0,-507.6092227296052
1851.0,-507.535747815769
1852.0,-507.4622848456099
1853.0,-507.38883402965035
1854.0,-507.31539557970905
1855.0,-507.24196976780166
1856.0,-507.16855678198715
1857.0,-507.09515684047716
1858.0,-507.02177016148266
1859.0,-506.94839691485004
1860.0,-506.8750373193921
1861.0,-506.8016915926214
1862.0,-506.72835994385844
1863.0,-506.65504258219585
1864.0,-506.5817397164989
1865.0,-506.5084514856153
1866.0,-506.4351779695687
1867.0,-506.3619194386469
1868.0,-506.2886760710171
1869.0,-506.2154480422045
1870.0,-506.14223552508986
1871.0,-506.0690386899126
1872.0,-505.9958574656979
1873.0,-505.92269209800844
1874.0,-505.8495427308631
1875.0,-505.77640948756004
1876.0,-505.7032924857476
1877.0,-505.6301918374215
1878.0,-505.5571075733063
1879.0,-505.48403971943577
1880.0,-505.4109884105882
1881.0,-505.33795371211124
